"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Banco_Nacional","","","","","","","","","","","","Banco Nacional","Banco Nacional;;Banco Nacional S.A.",""
"http://pt.wikipedia.org/wiki/Abscess","","","","","","","","","","","","Abscess","Abscess",""
"http://pt.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria","","","","","","","","","","","","Banco Bilbao Vizcaya Argentaria","BBVA;;Banco Bilbao Vizcaya Argentaria SA",""
"http://pt.wikipedia.org/wiki/Operário_Esporte_Clube","","","","","","Sapão;;Sapão da Terra Preta","","","","","","Operário Esporte Clube","Operário",""
"http://pt.wikipedia.org/wiki/Partido_Democrático_Nacional","","","","","","","","","","","","Partido Democrático Nacional","Partido Democrático Nacional",""
"http://pt.wikipedia.org/wiki/Chilly_Friday","","","","","","","","","","","","Chilly Friday","Chilly Friday",""
"http://pt.wikipedia.org/wiki/Centro_Universitário_Octávio_Bastos","","","","","","","","","","","","Centro Universitário Octávio Bastos","Centro Universitário Octávio Bastos",""
"http://pt.wikipedia.org/wiki/Maiwand_Sports_Club","","","","","","","","","","","","Maiwand Sports Club","Maiwand Sports Club",""
"http://pt.wikipedia.org/wiki/Envydust","","","","","","","","","","","","Envydust","Envydust",""
"http://pt.wikipedia.org/wiki/CS_Pandurii_Lignitul_Târgu_Jiu","","","","","","","","","","","","CS Pandurii Lignitul Târgu Jiu","Pandurii Târgu Jiu",""
"http://pt.wikipedia.org/wiki/79.ª_Divisão_de_Infantaria_(Alemanha)","","","","","","","","","","","","79.ª Divisão de Infantaria (Alemanha)","79. Infanterie-Division",""
"http://pt.wikipedia.org/wiki/Colin_Walker","","","","","","","","","","","","Colin Walker","Colin Walker",""
"http://pt.wikipedia.org/wiki/Faculdade_de_Educação_Tecnológica_do_Estado_do_Rio_de_Janeiro","","","","","","FAETERJ","","","","","","Faculdade de Educação Tecnológica do Estado do Rio de Janeiro","Faculdade de Educação Tecnológica do Estado do Rio de Janeiro",""
"http://pt.wikipedia.org/wiki/Jagex","","","","","","","","","","","","Jagex","Jagex Ltd.",""
"http://pt.wikipedia.org/wiki/King_Kobra","","","","","","","","","","","","King Kobra","King Kobra",""
"http://pt.wikipedia.org/wiki/Grêmio_Esportivo_Monte_Aprazível","","","","","","GEMA","","","","","","Grêmio Esportivo Monte Aprazível","Monte Aprazível",""
"http://pt.wikipedia.org/wiki/Nacional_Futebol_Clube_(Paraíba)","","","","","","Sensação do Sertão, Alviverde e Camaleão Sertanejo","","","","","","Nacional Futebol Clube (Paraíba)","Nacional Futebol Clube (Pombal);;Nacional de Pombal",""
"http://pt.wikipedia.org/wiki/Termalica_Bruk-Bet_Nieciecza_Klub_Sportowy","","","","","","The Elephants (Słoniki)","","","","","","Termalica Bruk-Bet Nieciecza Klub Sportowy","Nieciecza;;Termalica Bruk-Bet Nieciecza Klub Sportowy",""
"http://pt.wikipedia.org/wiki/Rádio_Diário_AM_(Carazinho)","","","","","","","","Grupo Diário da Manhã","","","","Rádio Diário AM (Carazinho)","Rádio Diário;;Sociedade Rádio Sinuelo Ltda/ Antares Radiodifusão Ltda",""
"http://pt.wikipedia.org/wiki/Prezioso_&_Marvin","","","","","","","","","","","","Prezioso & Marvin","Prezioso & Marvin",""
"http://pt.wikipedia.org/wiki/Sociedade_Esportiva_Aimoré","","","","","","Alveazul","","","","","","Sociedade Esportiva Aimoré","Aimoré",""
"http://pt.wikipedia.org/wiki/It's_All_Red","","","","","","","","","","","","It's All Red","It's All Red",""
"http://pt.wikipedia.org/wiki/Dio_(banda)","","","","","","","","","","","","Dio (banda)","Dio",""
"http://pt.wikipedia.org/wiki/BBC_Food","","","","","","","","","","","","BBC Food","BBC Food",""
"http://pt.wikipedia.org/wiki/Jonezetta","","","","","","","","","","","","Jonezetta","Jonezetta",""
"http://pt.wikipedia.org/wiki/Exército_do_Paquistão","","","","","","","","","","","","Exército do Paquistão","Exército do Paquistão",""
"http://pt.wikipedia.org/wiki/União_Independente_da_Zona_Sul","","","","","","","","","","","","União Independente da Zona Sul","União Independente da Zona Sul",""
"http://pt.wikipedia.org/wiki/Raiz_da_Gávea_Esporte_Clube","","","","","","","","","","","","Raiz da Gávea Esporte Clube","Raiz da Gávea",""
"http://pt.wikipedia.org/wiki/MGM_Channel","","","","","","","","","","","","MGM Channel","MGM Channel",""
"http://pt.wikipedia.org/wiki/KF_Tërbuni_Pukë","","","","","","Shqiponjat e Veriut","","","","","","KF Tërbuni Pukë","Klubi i Futbollit Tërbuni Pukë;;Tërbuni Pukë",""
